rankID,programID,rankingOrg,rankingCategory,rank
3,1,Niche,Best Business Program,22
10,1,US News and World Report,Best Business School,72
4,2,Niche,Best Business Program,40
14,2,US News and World Report,Best Business School,99
11,3,Niche,Best Business Program,72
13,4,Niche,Best Business Program,525
12,6,Niche,Best Business Program,152
1,7,Niche,Best Business Program,15
8,7,US News and World Report,Best Business School,62
5,8,US News and World Report,Best Business School,44
6,8,Niche,Best Business Program,48
2,10,Niche,Best Business Program,20
7,11,US News and World Report,Best Business School,56
9,11,Niche,Best Business Program,66
